0.1230,0.1155,0.1143,0.1069,0.0900,0.0860,0.0826,0.0823,0.0819,0.0829,0.0833,0.0829,0.0815,0.0801,0.0787,0.0807,0.0809,0.0806,0.0814,0.0790,0.0730,0.0622,0.0577,0.0551,0.0527,0.0509,0.0515,0.0507,0.0498,0.0481,0.0406,0.0434,0.0419,0.0421,0.0432
0.1608,0.1521,0.1475,0.1429,0.1301,0.1232,0.1190,0.1118,0.0994,0.0862,0.0856,0.0805,0.0746,0.0696,0.0683,0.0667,0.0614,0.0595,0.0577,0.0516,0.0460,0.0358,0.0300,0.0270,0.0271,0.0262,0.0246,0.0229,0.0209,0.0207,0.0161,0.0151,0.0145,0.0136,0.0109
0.1105,0.1031,0.0981,0.0965,0.0905,0.0793,0.0753,0.0732,0.0653,0.0544,0.0491,0.0442,0.0422,0.0415,0.0420,0.0424,0.0414,0.0397,0.0382,0.0380,0.0358,0.0274,0.0215,0.0199,0.0200,0.0206,0.0200,0.0197,0.0168,0.0157,0.0141,0.0161,0.0153,0.0152,0.0154
0.0017,0.0013,0.0010,0.0013,0.0014,0.0010,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0007,0.0007,0.0007,0.0007,0.0006,0.0006,0.0006,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004
0.4607,0.4627,0.4649,0.4730,0.4758,0.4818,0.4909,0.4911,0.4921,0.4856,0.4811,0.4737,0.4651,0.4686,0.4671,0.4740,0.4756,0.4735,0.4728,0.4771,0.4803,0.4831,0.4803,0.4684,0.4688,0.4594,0.4554,0.4573,0.4593,0.4480,0.4494,0.4419,0.4328,0.4317,0.4330
0.6645,0.6586,0.6580,0.6633,0.6625,0.6722,0.6712,0.6816,0.6825,0.6821,0.6871,0.6790,0.6511,0.6489,0.6467,0.6558,0.6611,0.6520,0.6496,0.6458,0.6478,0.6550,0.6604,0.6467,0.6103,0.6171,0.6044,0.6040,0.5928,0.5731,0.5724,0.5588,0.5349,0.5184,0.5131
0.6763,0.6807,0.6845,0.6846,0.6759,0.6702,0.6627,0.6629,0.6541,0.6599,0.6623,0.6766,0.6679,0.6587,0.6589,0.6495,0.6584,0.6586,0.6564,0.6400,0.6350,0.6357,0.6216,0.6176,0.5994,0.5878,0.5680,0.5708,0.5530,0.5377,0.5235,0.5171,0.4933,0.4669,0.4498
0.5490,0.5465,0.5328,0.5339,0.5212,0.5085,0.4959,0.4929,0.4875,0.4987,0.5009,0.5048,0.4999,0.4880,0.4816,0.4611,0.4534,0.4369,0.4112,0.4006,0.3928,0.3850,0.3586,0.3485,0.3487,0.3396,0.3202,0.3188,0.3120,0.2999,0.2950,0.2863,0.2707,0.2570,0.2409
0.4759,0.4631,0.4446,0.4384,0.4143,0.3933,0.3877,0.3824,0.3827,0.3753,0.3769,0.3795,0.3707,0.3579,0.3458,0.3374,0.3198,0.2938,0.2757,0.2580,0.2522,0.2403,0.2263,0.2207,0.2123,0.2006,0.1864,0.1723,0.1665,0.1551,0.1466,0.1394,0.1322,0.1286,0.1096
0.4030,0.3827,0.3706,0.3564,0.3343,0.3149,0.2995,0.2939,0.2811,0.2707,0.2638,0.2536,0.2498,0.2293,0.2187,0.2036,0.1860,0.1554,0.1326,0.1146,0.1043,0.1003,0.0940,0.0858,0.0778,0.0739,0.0702,0.0629,0.0550,0.0476,0.0424,0.0371,0.0363,0.0335,0.0316
